input,result3,result2,result1
"[5, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 5]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[15, 18, 13]","[15, 18, 13]"
"[0, 0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5]","[1, 15, 7]","[1, 15, 7]"
"[0, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 10]","[1, 15, 7]","[1, 15, 7]"
"[0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 18]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 18]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 4, 1]","[1, 15, 13]","[1, 15, 13]"
"[0, 5, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[15, 13, 0]","[15, 13, 0]"
"[0, 5, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 13, 14]","[17, 15, 13]","[17, 15, 13]"
"[0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[15, 1, 7]","[15, 1, 7]"
"[5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 5]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 5, 4]","[1, 7, 15]","[1, 7, 15]"
"[5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 15]","[17, 15, 13]","[17, 15, 13]"
"[5, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[15, 13, 18]","[15, 13, 18]"
"[0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 15]","[17, 15, 13]","[17, 15, 13]"
"[0, 5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 12]","[15, 0, 13]","[15, 0, 13]"
"[0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 4, 6]","[1, 15, 0]","[1, 15, 0]"
"[5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 18, 4]","[1, 15, 18]","[1, 15, 18]"
"[0, 5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 6, 4]","[17, 13, 15]","[17, 13, 15]"
"[0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 6]","[1, 15, 0]","[1, 15, 0]"
"[5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[15, 17, 13]","[15, 17, 13]"
"[0, 5, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 10, 15]","[17, 13, 7]","[17, 13, 7]"
"[0, 0, 0, 5, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 4]","[7, 15, 1]","[7, 15, 1]"
"[0, 5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 0, 6]","[15, 0, 13]","[15, 0, 13]"
"[0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 4]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 1]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 15]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5]","[1, 15, 7]","[1, 15, 7]"
"[0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 18, 6]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 4, 6]","[1, 15, 18]","[1, 15, 18]"
"[0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 6]","[15, 17, 13]","[15, 17, 13]"
"[0, 0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 6]","[1, 15, 13]","[1, 15, 13]"
"[5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[15, 13, 6]","[15, 13, 6]"
"[0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 4]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 7]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 12, 8]","[13, 15, 16]","[13, 15, 16]"
"[5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 5]","[15, 13, 7]","[15, 13, 7]"
"[0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 15]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 5, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 0]","[1, 15, 18]","[1, 15, 18]"
"[5, 0, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[17, 1, 15]","[17, 1, 15]"
"[0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 18]","[15, 13, 0]","[15, 13, 0]"
"[0, 0, 0, 0, 5, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 7]","[1, 17, 15]","[1, 17, 15]"
"[0, 0, 5, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 1, 7]","[15, 1, 7]"
"[0, 0, 0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 0]","[1, 15, 13]","[1, 15, 13]"
"[0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 15, 10]","[15, 0, 17]","[15, 0, 17]"
"[0, 0, 0, 0, 5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[1, 18, 15]","[1, 18, 15]"
"[0, 0, 5, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 1, 12]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 10]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 10]","[17, 7, 13]","[17, 7, 13]"
"[0, 0, 5, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 10, 12]","[17, 15, 7]","[17, 15, 7]"
"[0, 5, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 5]","[17, 13, 7]","[17, 13, 7]"
"[0, 5, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 7]","[17, 15, 13]","[17, 15, 13]"
"[5, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 1, 4]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 5, 15]","[15, 1, 13]","[15, 1, 13]"
"[0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 7]","[17, 1, 15]","[17, 1, 15]"
"[0, 0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 12, 1]","[1, 15, 7]","[1, 15, 7]"
"[0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 10, 4]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 18, 6]","[1, 17, 15]","[1, 17, 15]"
"[5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 6]","[1, 15, 18]","[1, 15, 18]"
"[0, 0, 0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[17, 1, 7]","[17, 1, 7]"
"[0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 18]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 19]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 18]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 19]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 4, 7]","[1, 15, 18]","[1, 15, 18]"
"[0, 5, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4, 5]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 1, 0]","[15, 1, 0]"
"[0, 0, 5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 12, 1]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[17, 1, 15]","[17, 1, 15]"
"[5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 10]","[15, 17, 13]","[15, 17, 13]"
"[0, 5, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 5]","[15, 13, 0]","[15, 13, 0]"
"[5, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 11, 5]","[17, 1, 7]","[17, 1, 7]"
"[5, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 1]","[7, 1, 17]","[7, 1, 17]"
"[0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 12, 8]","[15, 0, 13]","[15, 0, 13]"
"[0, 0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4, 18]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 10, 15]","[17, 1, 15]","[17, 1, 15]"
"[5, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 1]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 6]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 18]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 4, 10]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[15, 1, 17]","[15, 1, 17]"
"[0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 0]","[1, 15, 0]"
"[0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 15]","[17, 15, 13]","[17, 15, 13]"
"[0, 5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 18]","[15, 13, 0]","[15, 13, 0]"
"[0, 5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 13, 7]","[15, 13, 7]"
"[0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 7]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 10]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 12, 18]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 15]","[17, 15, 1]","[17, 15, 1]"
"[0, 0, 0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 5]","[1, 7, 15]","[1, 7, 15]"
"[0, 0, 0, 0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 5]","[0, 15, 13]","[0, 15, 13]"
"[0, 5, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 6, 7]","[15, 0, 13]","[15, 0, 13]"
"[0, 0, 0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 0]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 5, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 18, 4]","[1, 15, 18]","[1, 15, 18]"
"[5, 5, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[17, 13, 15]","[17, 13, 15]"
"[0, 0, 0, 5, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 5]","[17, 1, 7]","[17, 1, 7]"
"[0, 0, 0, 5, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 1, 0]","[7, 17, 1]","[7, 17, 1]"
"[0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[15, 17, 13]","[15, 17, 13]"
